Rosalind_2598 Rosalind_0924
Rosalind_7646 Rosalind_9673
Rosalind_7646 Rosalind_8678
Rosalind_5307 Rosalind_7712
Rosalind_7112 Rosalind_5356
Rosalind_7112 Rosalind_7475
Rosalind_7112 Rosalind_4067
Rosalind_2366 Rosalind_5356
Rosalind_2366 Rosalind_7475
Rosalind_2366 Rosalind_4067
Rosalind_1956 Rosalind_3426
Rosalind_2053 Rosalind_8993
Rosalind_7708 Rosalind_8528
Rosalind_7708 Rosalind_0222
Rosalind_7708 Rosalind_5301
Rosalind_2910 Rosalind_0841
Rosalind_2910 Rosalind_4388
Rosalind_8523 Rosalind_9256
Rosalind_8523 Rosalind_8436
Rosalind_6304 Rosalind_6254
Rosalind_6304 Rosalind_1306
Rosalind_6304 Rosalind_7078
Rosalind_6046 Rosalind_8993
Rosalind_0908 Rosalind_5112
Rosalind_0908 Rosalind_6999
Rosalind_6254 Rosalind_9673
Rosalind_6254 Rosalind_8678
Rosalind_0062 Rosalind_4470
Rosalind_0062 Rosalind_3341
Rosalind_0062 Rosalind_8801
Rosalind_4182 Rosalind_2053
Rosalind_4182 Rosalind_0827
Rosalind_0924 Rosalind_6304
Rosalind_0924 Rosalind_6613
Rosalind_5112 Rosalind_6304
Rosalind_5112 Rosalind_6613
Rosalind_4470 Rosalind_4698
Rosalind_1776 Rosalind_9429
Rosalind_3008 Rosalind_2366
Rosalind_8528 Rosalind_0841
Rosalind_8528 Rosalind_4388
Rosalind_5937 Rosalind_6304
Rosalind_5937 Rosalind_6613
Rosalind_6688 Rosalind_6434
Rosalind_6688 Rosalind_2910
Rosalind_0318 Rosalind_0841
Rosalind_0318 Rosalind_4388
Rosalind_1838 Rosalind_3895
Rosalind_1838 Rosalind_2816
Rosalind_1838 Rosalind_1381
Rosalind_5356 Rosalind_6046
Rosalind_3426 Rosalind_5092
Rosalind_3426 Rosalind_8849
Rosalind_9053 Rosalind_5399
Rosalind_0716 Rosalind_6434
Rosalind_0716 Rosalind_2910
Rosalind_5092 Rosalind_2053
Rosalind_5092 Rosalind_0827
Rosalind_0222 Rosalind_8148
Rosalind_2342 Rosalind_0950
Rosalind_2342 Rosalind_0801
